timestamp,machine_id,voltage_v,current_a,power_kw,temperature_c,vibration_mm_s,power_factor,status
2025-01-01 00:00:00,MOTOR_01,380.99,16.17,9.27,58.11,2.69,0.869,NORMAL
2025-01-01 01:00:00,MOTOR_01,379.72,14.22,8.42,57.46,2.57,0.901,NORMAL
2025-01-01 02:00:00,MOTOR_01,381.3,15.07,8.37,55.77,2.59,0.841,NORMAL
2025-01-01 03:00:00,MOTOR_01,383.05,17.82,9.99,61.8,2.74,0.846,NORMAL
2025-01-01 04:00:00,MOTOR_01,379.53,17.52,10.03,55.95,2.69,0.871,NORMAL
2025-01-01 05:00:00,MOTOR_01,379.53,17.35,9.57,61.06,2.69,0.839,NORMAL
2025-01-01 06:00:00,MOTOR_01,383.16,19.22,10.5,60.31,2.78,0.823,NORMAL
2025-01-01 07:00:00,MOTOR_01,381.53,18.12,10.0,61.0,2.71,0.835,NORMAL
2025-01-01 08:00:00,MOTOR_01,379.06,17.66,10.12,59.67,2.74,0.873,NORMAL
2025-01-01 09:00:00,MOTOR_01,381.09,18.06,10.71,59.96,2.73,0.899,NORMAL
2025-01-01 10:00:00,MOTOR_01,379.07,16.05,9.48,58.67,2.53,0.9,NORMAL
2025-01-01 11:00:00,MOTOR_01,379.07,17.66,10.76,60.34,2.73,0.928,NORMAL
2025-01-01 12:00:00,MOTOR_01,380.48,14.05,8.18,55.75,2.52,0.883,NORMAL
2025-01-01 13:00:00,MOTOR_01,376.17,15.01,8.68,58.56,2.6,0.887,NORMAL
2025-01-01 14:00:00,MOTOR_01,376.55,15.22,8.66,55.55,2.55,0.872,NORMAL
2025-01-01 15:00:00,MOTOR_01,378.88,11.23,6.44,53.97,2.43,0.874,NORMAL
2025-01-01 16:00:00,MOTOR_01,377.97,11.99,7.4,55.85,2.39,0.942,NORMAL
2025-01-01 17:00:00,MOTOR_01,380.63,13.47,7.89,57.27,2.53,0.888,NORMAL
2025-01-01 18:00:00,MOTOR_01,378.18,13.39,7.81,56.4,2.43,0.89,NORMAL
2025-01-01 19:00:00,MOTOR_01,377.18,11.9,6.57,53.93,2.36,0.846,NORMAL
2025-01-01 20:00:00,MOTOR_01,382.93,11.52,6.82,55.56,2.42,0.892,NORMAL
2025-01-01 21:00:00,MOTOR_01,379.55,14.03,8.3,55.22,2.47,0.9,NORMAL
2025-01-01 22:00:00,MOTOR_01,380.14,14.92,8.97,59.56,2.72,0.913,NORMAL
2025-01-01 23:00:00,MOTOR_01,377.15,12.83,7.53,55.13,2.49,0.899,NORMAL
2025-01-02 00:00:00,MOTOR_01,378.91,13.56,7.79,53.53,2.48,0.876,NORMAL
2025-01-02 01:00:00,MOTOR_01,380.22,16.05,9.25,56.05,2.67,0.875,NORMAL
2025-01-02 02:00:00,MOTOR_01,377.7,17.26,9.91,58.87,2.62,0.878,NORMAL
2025-01-02 03:00:00,MOTOR_01,380.75,16.76,9.76,58.62,2.71,0.883,NORMAL
2025-01-02 04:00:00,MOTOR_01,378.8,18.41,11.09,62.69,2.79,0.918,NORMAL
2025-01-02 05:00:00,MOTOR_01,379.42,17.05,10.22,57.08,2.75,0.912,NORMAL
2025-01-02 06:00:00,MOTOR_01,378.8,15.46,9.16,57.43,2.54,0.903,NORMAL
2025-01-02 07:00:00,MOTOR_01,383.7,17.39,10.87,57.32,2.57,0.941,NORMAL
2025-01-02 08:00:00,MOTOR_01,379.97,17.67,9.31,58.4,2.63,0.8,NORMAL
2025-01-02 09:00:00,MOTOR_01,377.88,16.79,9.52,60.96,2.62,0.866,NORMAL
2025-01-02 10:00:00,MOTOR_01,381.65,15.11,8.79,55.38,2.69,0.88,NORMAL
2025-01-02 11:00:00,MOTOR_01,377.56,13.6,7.65,56.76,2.66,0.86,NORMAL
2025-01-02 12:00:00,MOTOR_01,380.42,14.38,8.08,57.1,2.55,0.852,NORMAL
2025-01-02 13:00:00,MOTOR_01,376.08,15.3,8.26,57.2,2.57,0.828,NORMAL
2025-01-02 14:00:00,MOTOR_01,377.34,15.01,8.54,57.79,2.52,0.871,NORMAL
